epoch,learning_rate,train_ADE,train_FDE,valid_ADE,valid_FDE,goal_BCE_loss,traj_MSE_loss
1,0.0001,557.0199863297155,0.0,0,0,0.6922251105308532,199300.77265625
2,0.0001,562.5791391378893,0.0,0,0,0.6770115911960601,201794.2
3,0.0001,558.521923947412,0.0,0,0,0.2255564014893025,200741.07578125
4,0.0001,540.8251916344857,0.0,0,0,0.0077914388850331305,186556.5015625
5,0.0001,511.38991325452974,0.0,538.6672102901914,490.85083399781394,0.003347147523891181,167977.03828125
6,0.0001,519.8507038327692,0.0,530.4603509465488,577.499961643044,0.0023233723477460444,173759.65078125
7,0.0001,513.9799851408222,0.0,520.5800588065331,567.7381101835758,0.001530516752973199,168155.08515625
8,0.0001,501.5773981448493,0.0,515.352177331207,565.7967002938647,0.001151572517119348,161714.56328125
9,0.0001,479.68921405407036,0.0,512.9846378991364,566.1043860759211,0.0010392604803200812,146985.265625
10,0.0001,472.20802968177424,0.0,509.13379074236667,573.3256211587048,0.0009936041897162795,143439.43828125
11,0.0001,450.7954306338431,0.0,499.0106786325437,573.4655879309418,0.0009743712056661024,131014.269921875
12,0.0001,450.26303508149687,0.0,489.55995080230434,571.987824886217,0.0009570548223564401,129597.509375
13,0.0001,435.873382270142,0.0,477.76513279906106,583.3014809144746,0.0009452389815123752,121419.143359375
14,0.0001,415.8667582657904,0.0,475.4169202332103,573.0967676005232,0.0009318321739556268,110801.0390625
15,0.0001,402.3977756562373,0.0,453.82648041051465,567.7975225886074,0.0009244752902304754,103459.886328125
16,0.0001,390.49395115756056,0.0,452.1854477628655,572.9191953326584,0.0009204557893099264,96782.03046875
17,0.0001,367.6819730876711,0.0,441.70053926520393,566.9311685824613,0.0009194205922540277,87545.86484375
18,0.0001,345.8145545686107,0.0,419.80302037230325,569.1555646143922,0.0009185020317090675,77152.728515625
19,0.0001,333.9121771697501,0.0,413.3586456578806,571.6153015696674,0.0009183257992845028,72225.9123046875
20,0.0001,317.7004862235501,0.0,382.43642740512115,570.1354316921409,0.0009182161971693859,64658.5177734375
21,0.0001,300.2273643071178,0.0,387.6890383379175,564.4348278920585,0.0009188520431052894,57966.8666015625
22,0.0001,289.1620416796557,0.0,346.5738638781626,572.310944443449,0.0009150596422841772,53880.4205078125
23,0.0001,263.1401386074601,0.0,356.3705104862878,570.9338457300029,0.0009134592226473614,44396.8896484375
24,0.0001,253.58088177112492,0.0,348.33547714653366,574.9037685569273,0.0009155480802292004,41553.893359375
25,0.0001,225.73878762310414,0.0,307.262504927609,572.1119731938073,0.0009117759531363845,33280.3380859375
26,0.0001,207.46846550062347,0.0,311.5575498528437,574.5437913247205,0.000911215681117028,27799.56943359375
27,0.0001,184.82502237127346,0.0,298.43755435068675,575.5981582501613,0.0009087650250876322,21999.982080078124
28,0.0001,166.23788626108572,0.0,278.3314584854546,576.4151580530569,0.0009080608724616468,18185.044580078124
29,0.0001,141.97201314422907,0.0,263.5556369046553,570.0899358626899,0.0009075627021957189,13411.840649414062
30,0.0001,126.22738905915996,0.0,256.07607535266004,519.4703048216094,0.0009039091033628211,10700.229907226563
31,0.0001,108.76441764210257,0.0,123.64276952481052,88.2735658632506,0.000901104902732186,8424.170861816407
32,0.0001,85.52642878802669,0.0,98.24381452087962,87.38016412017542,0.0008995027077617124,5451.580615234375
33,0.0001,72.27075943341084,0.0,82.77841310763577,84.59124770295729,0.0009032213565660641,4429.770547485352
34,0.0001,52.833061820909336,0.0,75.13082822747187,80.16238692047399,0.0009196086612064391,2906.120036315918
35,0.0001,57.79946103546441,0.0,72.27266276648285,83.03459972416589,0.0009043857862707227,3445.2120697021483
36,0.0001,61.22943718503275,0.0,69.95332421294046,78.99132669792263,0.0008834505861159414,3694.2235679626465
37,0.0001,53.139818797282366,0.0,64.28285745743217,78.55422820519964,0.0008611963974544778,2855.308940887451
38,0.0001,62.828181807303665,0.0,56.55380210526493,74.62182987939327,0.0008742041594814509,3809.973429107666
39,0.0001,53.534687944654536,0.0,62.56948563811976,71.86453317064758,0.0008812823885818944,2880.5769653320312
40,0.0001,48.398380629014504,0.0,66.10591699442732,78.57783076085082,0.0008341350156115368,2519.8347885131834
41,0.0001,48.88017729594576,0.0,63.69854776574931,75.88539653305614,0.0008034561120439321,2517.283882904053
42,0.0001,43.84249791726227,0.0,58.32444673940676,67.3169101575099,0.0007848825713153929,2257.641463470459
43,0.0001,44.14605342293407,0.0,57.51713792993388,67.93062606426554,0.0007779613486491143,2130.62518157959
44,0.0001,54.386471045522036,0.0,46.466864725865356,53.80767532663608,0.0007454202976077795,3044.3398124694822
45,0.0001,47.0206882969176,0.0,47.49728146824268,53.64013559008957,0.000798035113257356,2559.814077758789
46,0.0001,51.04891894772309,0.0,47.30636811037676,52.458915237986716,0.0007712247024755925,2878.7598762512207
47,0.0001,37.48711080892855,0.0,51.13242949914495,56.02589671983631,0.0006945071334484964,1767.6569133758544
48,0.0001,46.06757507572733,0.0,52.44774160472625,54.278182060346694,0.0007017174531938509,2158.5030311584474
49,0.0001,44.69395911499421,0.0,50.679945805750855,50.50749876739782,0.0006910304829943926,2416.2166065216065
50,0.0001,48.775954895765075,0.0,48.40997315328055,47.189493669282406,0.0006927056325366721,2489.9554592132567
51,0.0001,40.13620112773262,0.0,47.2803266595263,49.52748581685057,0.0006861613888759166,1977.3458183288574
52,0.0001,38.33134405154747,0.0,43.83940054517274,47.32026781838968,0.0006867245130706579,1685.3183170318603
53,0.0001,38.63895553253373,0.0,42.776946820250345,45.26608637713511,0.0006820778420660645,1720.3813779830932
